,tournamentsPlayed,type,rowName,ranking,points,previousRanking,bestRanking,id,rankingClass,bestRankingDateTimestamp,team.name,team.slug,team.shortName,team.gender,team.userCount,team.nameCode,team.ranking,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,team.disabled
0,19,5,Novak Djokovic,1,11063,1,1.0,6862,team,1309737600.0,Djokovic N.,djokovic-novak,Djokovic N.,M,134964,DJO,1,False,1,14882,RS,Serbia,#52b030,#52b030,#ffffff,
1,24,5,Daniil Medvedev,2,9793,2,4.0,6865,team,1567987200.0,Medvedev D.,medvedev-daniil,Medvedev D.,M,28133,MED,2,False,1,163504,RU,Russia,#52b030,#52b030,#ffffff,
2,17,5,Rafael Nadal,3,9630,3,1.0,6863,team,1219017600.0,Nadal R.,nadal-rafael,Nadal R.,M,143808,NAD,3,False,1,14486,ES,Spain,#52b030,#52b030,#ffffff,
3,23,5,Dominic Thiem,4,8445,4,3.0,6866,team,1583107200.0,Thiem D.,thiem-dominic,Thiem D.,M,52912,THI,4,False,1,43748,AT,Austria,#52b030,#52b030,#ffffff,
4,29,5,Stefanos Tsitsipas,5,7430,5,5.0,6868,team,1564963200.0,Tsitsipas S.,tsitsipas-stefanos,Tsitsipas S.,M,45492,TSI,5,False,1,122366,GR,Greece,#52b030,#52b030,#ffffff,
5,28,5,Alexander Zverev,6,7115,6,3.0,6867,team,1509926400.0,Zverev A.,zverev-alexander,Zverev A.,M,35959,ZVE,6,False,1,57163,DE,Germany,#52b030,#52b030,#ffffff,
6,29,5,Andrey Rublev,7,6090,7,7.0,6892,team,1618790400.0,Rublev A.,rublev-andrey,Rublev A.,M,16044,RUB,7,False,1,106755,RU,Russia,#52b030,#52b030,#ffffff,
7,16,5,Roger Federer,8,5605,8,1.0,6864,team,1075680000.0,Federer R.,federer-roger,Federer R.,M,128997,FED,8,False,1,14342,CH,Switzerland,#52b030,#52b030,#ffffff,
8,25,5,Matteo Berrettini,9,3958,9,8.0,6872,team,1572825600.0,Berrettini M.,berrettini-matteo,Berrettini M.,M,18921,BER,9,False,1,112783,IT,Italy,#52b030,#52b030,#ffffff,
9,27,5,Diego Schwartzman,10,3465,10,8.0,6876,team,1602460800.0,Schwartzman D.,schwartzman-diego,Schwartzman D.,M,16668,SCH,10,False,1,48599,AR,Argentina,#52b030,#52b030,#ffffff,
10,28,5,Roberto Bautista Agut,11,3215,11,9.0,6871,team,1572825600.0,Bautista Agut R.,bautista-agut-roberto,Bautista Agut R.,M,9534,BAU,11,False,1,16720,ES,Spain,#52b030,#52b030,#ffffff,
11,29,5,Pablo Carreno Busta,12,3085,12,10.0,6896,team,1505088000.0,Carreño Busta P.,carreno-busta-pablo,Carreño Busta P.,M,7407,CAR,12,False,1,40800,ES,Spain,#52b030,#52b030,#ffffff,
12,31,5,David Goffin,13,2875,13,7.0,6875,team,1511136000.0,Goffin D.,goffin-david,Goffin D.,M,11828,GOF,13,False,1,25838,BE,Belgium,#52b030,#52b030,#ffffff,
13,23,5,Gael Monfils,14,2703,15,6.0,6874,team,1478476800.0,Monfils G.,monfils-gael,Monfils G.,M,14770,MON,14,False,1,14844,FR,France,#52b030,#52b030,#ffffff,
14,33,5,Denis Shapovalov,15,2675,14,10.0,6895,team,1600646400.0,Shapovalov D.,shapovalov-denis,Shapovalov D.,M,13913,SHA,15,False,1,117916,CA,Canada,#52b030,#52b030,#ffffff,
15,22,5,Milos Raonic,16,2518,20,3.0,6891,team,1479686400.0,Raonic M.,raonic-milos,Raonic M.,M,9383,RAO,16,False,1,18111,CA,Canada,#52b030,#52b030,#ffffff,False
16,37,5,Jannik Sinner,17,2500,18,17.0,6980,team,1621209600.0,Sinner J.,sinner-jannik,Sinner J.,M,25557,SIN,17,False,1,206570,IT,Italy,#52b030,#52b030,#ffffff,
17,33,5,Hubert Hurkacz,18,2498,19,16.0,6894,team,1617580800.0,Hurkacz H.,hurkacz-hubert,Hurkacz H.,M,10909,HUR,18,False,1,158896,PL,Poland,#52b030,#52b030,#ffffff,
18,32,5,Felix Auger-Aliassime,19,2498,21,17.0,6878,team,1571011200.0,Auger-Aliassime F.,auger-aliassime-felix,Auger-Aliassime F.,M,10740,AAF,19,False,1,192013,CA,Canada,#52b030,#52b030,#ffffff,False
19,26,5,Grigor Dimitrov,20,2496,17,3.0,6888,team,1511136000.0,Dimitrov G.,dimitrov-grigor,Dimitrov G.,M,17129,DIM,20,False,1,23581,BG,Bulgaria,#52b030,#52b030,#ffffff,
20,34,5,Casper Ruud,21,2485,16,16.0,6920,team,1620604800.0,Ruud C.,ruud-casper,Ruud C.,M,5324,RUU,21,False,1,119248,NO,Norway,#52b030,#52b030,#ffffff,
21,29,5,Alex de Minaur,22,2350,23,18.0,6887,team,1572220800.0,de Minaur A.,de-minaur-alex,de Minaur A.,M,7266,DMI,22,False,1,201239,AU,Australia,#52b030,#52b030,#ffffff,
22,34,5,Cristian Garin,23,2350,22,18.0,6899,team,1582502400.0,Garín C.,garin-cristian,Garín C.,M,6492,GAR,23,False,1,64570,CL,Chile,#52b030,#52b030,#ffffff,
23,24,5,Stan Wawrinka,24,2281,25,3.0,6879,team,1390780800.0,Wawrinka S.,wawrinka-stan,Wawrinka S.,M,19086,WAW,24,False,1,14548,CH,Switzerland,#52b030,#52b030,#ffffff,
24,43,5,Aslan Karatsev,25,2245,27,25.0,7132,team,1621209600.0,Karatsev A.,karatsev-aslan,Karatsev A.,M,6295,KAR,25,False,1,60502,RU,Russia,#52b030,#52b030,#ffffff,
25,30,5,Karen Khachanov,26,2235,24,8.0,6869,team,1563148800.0,Khachanov K.,khachanov-karen,Khachanov K.,M,8002,KHA,26,False,1,90080,RU,Russia,#52b030,#52b030,#ffffff,
26,37,5,Daniel Evans,27,2195,26,26.0,6904,team,1612742400.0,Evans D.,evans-daniel,Evans D.,M,4413,EVA,27,False,1,16375,GB,United Kingdom,#52b030,#52b030,#ffffff,
27,37,5,Lorenzo Sonego,28,2132,33,28.0,6917,team,1618185600.0,Sonego L.,sonego-lorenzo,Sonego L.,M,9625,SON,28,False,1,104847,IT,Italy,#52b030,#52b030,#ffffff,
28,29,5,Fabio Fognini,29,1923,28,9.0,6873,team,1563148800.0,Fognini F.,fognini-fabio,Fognini F.,M,15546,FOG,29,False,1,15434,IT,Italy,#52b030,#52b030,#ffffff,
29,26,5,Borna Coric,30,1870,29,12.0,6883,team,1541376000.0,Ćorić B.,coric-borna,Ćorić B.,M,9813,COR,30,False,1,64580,HR,Croatia,#52b030,#52b030,#ffffff,
30,33,5,Nikoloz Basilashvili,31,1830,30,16.0,6885,team,1558915200.0,Basilashvili N.,basilashvili-nikoloz,Basilashvili N.,M,4139,BAS,31,False,1,26204,GE,Georgia,#52b030,#52b030,#ffffff,
31,39,5,Taylor Fritz,32,1805,31,24.0,6890,team,1583107200.0,Fritz T.,fritz-taylor,Fritz T.,M,4011,FRI,32,False,1,136042,US,USA,#52b030,#52b030,#ffffff,
32,40,5,Ugo Humbert,33,1780,32,29.0,6931,team,1615766400.0,Humbert U.,humbert-ugo,Humbert U.,M,4303,HUM,33,False,1,185388,FR,France,#52b030,#52b030,#ffffff,
33,22,5,John Isner,34,1730,34,8.0,6877,team,1531699200.0,Isner J.,isner-john,Isner J.,M,7308,ISN,34,False,1,16120,US,USA,#52b030,#52b030,#ffffff,
34,28,5,Reilly Opelka,35,1726,47,31.0,6898,team,1572220800.0,Opelka R.,opelka-reilly,Opelka R.,M,3142,OPE,35,False,1,130400,US,USA,#52b030,#52b030,#ffffff,
35,40,5,Benoit Paire,36,1669,35,18.0,6884,team,1452470400.0,Paire B.,paire-benoit,Paire B.,M,5289,PAI,36,False,1,22218,FR,France,#52b030,#52b030,#ffffff,
36,38,5,Adrian Mannarino,37,1651,36,22.0,6905,team,1521417600.0,Mannarino A.,mannarino-adrian,Mannarino A.,M,2972,MAN,37,False,1,15894,FR,France,#52b030,#52b030,#ffffff,
37,40,5,Alexander Bublik,38,1613,40,43.0,6909,team,1614556800.0,Bublik A.,bublik-alexander,Bublik A.,M,3176,BUB,38,False,1,163480,KZ,Kazakhstan,#52b030,#52b030,#ffffff,
38,39,5,Albert Ramos-Vinolas,39,1595,38,17.0,6903,team,1494201600.0,Ramos-Viñolas A.,ramos-vinolas-albert,Ramos-Viñolas A.,M,3027,RAM,39,False,1,16822,ES,Spain,#52b030,#52b030,#ffffff,
39,37,5,Dusan Lajovic,40,1585,37,23.0,6893,team,1556496000.0,Lajović D.,lajovic-dusan,Lajović D.,M,5089,LAJ,40,False,1,39234,RS,Serbia,#52b030,#52b030,#ffffff,
40,30,5,Filip Krajinovic,41,1524,39,26.0,6921,team,1524441600.0,Krajinović F.,krajinovic-filip,Krajinović F.,M,5537,KRA,41,False,1,22970,RS,Serbia,#52b030,#52b030,#ffffff,
41,34,5,Jan-Lennard Struff,42,1500,41,29.0,6902,team,1598832000.0,Struff J.,struff-jan-lennard,Struff J.,M,4392,STR,42,False,1,46391,DE,Germany,#52b030,#52b030,#ffffff,
42,42,5,John Millman,43,1486,42,33.0,6913,team,1539561600.0,Millman J.,millman-john,Millman J.,M,2658,MIL,43,False,1,33115,AU,Australia,#52b030,#52b030,#ffffff,
43,31,5,Marton Fucsovics,44,1456,44,31.0,6930,team,1551657600.0,Fucsovics M.,fucsovics-marton,Fucsovics M.,M,5474,FUC,44,False,1,47770,HU,Hungary,#52b030,#52b030,#ffffff,
44,37,5,Alejandro Davidovich Fokina,45,1408,48,52.0,6962,team,1604880000.0,Davidovich Fokina A.,davidovich-fokina-alejandro,Davidovich Fokina A.,M,3512,DFO,45,False,1,157456,ES,Spain,#52b030,#52b030,#ffffff,
45,29,5,Marin Cilic,46,1388,43,3.0,6886,team,1517184000.0,Čilić M.,cilic-marin,Čilić M.,M,11236,CIL,46,False,1,15387,HR,Croatia,#52b030,#52b030,#ffffff,False
46,38,5,Miomir Kecmanovic,47,1384,46,38.0,6910,team,1615161600.0,Kecmanović M.,kecmanovic-miomir,Kecmanović M.,M,3921,KEC,47,False,1,198592,RS,Serbia,#52b030,#52b030,#ffffff,
47,19,5,Kei Nishikori,48,1318,45,4.0,6870,team,1425254400.0,Nishikori K.,nishikori-kei,Nishikori K.,M,10459,NIS,48,False,1,15733,JP,Japan,#52b030,#52b030,#ffffff,False
48,35,5,Cameron Norrie,49,1315,49,41.0,6922,team,1558310400.0,Norrie C.,norrie-cameron,Norrie C.,M,2887,NOR,49,False,1,95935,GB,United Kingdom,#52b030,#52b030,#ffffff,
49,36,5,Federico Delbonis,50,1215,64,33.0,6938,team,1462752000.0,Delbonis F.,delbonis-federico,Delbonis F.,M,2612,DEL,50,False,1,35167,AR,Argentina,#52b030,#52b030,#ffffff,
50,32,5,Lloyd Harris,51,1198,51,52.0,6967,team,1616371200.0,Harris L.,harris-lloyd,Harris L.,M,2524,HAR,51,False,1,157808,ZA,South Africa,#52b030,#52b030,#ffffff,
51,29,5,Richard Gasquet,52,1163,53,7.0,6918,team,1183939200.0,Gasquet R.,gasquet-richard,Gasquet R.,M,4195,GAS,52,False,1,14414,FR,France,#52b030,#52b030,#ffffff,
52,36,5,Tommy Paul,53,1155,55,51.0,6942,team,1615161600.0,Paul T.,paul-tommy,Paul T.,M,1734,PAU,53,False,1,138546,US,USA,#52b030,#52b030,#ffffff,
53,32,5,Laslo Djere,54,1148,52,27.0,6900,team,1560124800.0,Djere L.,djere-laslo,Djere L.,M,3947,DJE,54,False,1,97231,RS,Serbia,#52b030,#52b030,#ffffff,False
54,28,5,Aljaz Bedene,55,1141,57,43.0,6932,team,1518998400.0,Bedene A.,bedene-aljaz,Bedene A.,M,1991,BED,55,False,1,38022,SI,Slovenia,#52b030,#52b030,#ffffff,
55,18,5,Nick Kyrgios,56,1135,56,13.0,6889,team,1477267200.0,Kyrgios N.,kyrgios-nick,Kyrgios N.,M,16292,KYR,56,False,1,62490,AU,Australia,#52b030,#52b030,#ffffff,
56,30,5,Jeremy Chardy,57,1123,54,25.0,6927,team,1359331200.0,Chardy J.,chardy-jeremy,Chardy J.,M,2489,CHA,57,False,1,15829,FR,France,#52b030,#52b030,#ffffff,
57,27,5,Guido Pella,58,1114,58,20.0,6881,team,1566172800.0,Pella G.,pella-guido,Pella G.,M,3458,PEL,58,False,1,24418,AR,Argentina,#52b030,#52b030,#ffffff,
58,35,5,Dominik Koepfer,59,1105,50,50.0,6946,team,1620604800.0,Köepfer D.,koepfer-dominik,Köepfer D.,M,2186,KOE,59,False,1,129368,DE,Germany,#52b030,#52b030,#ffffff,
59,30,5,Yoshihito Nishioka,60,1084,59,48.0,6935,team,1582502400.0,Nishioka Y.,nishioka-yoshihito,Nishioka Y.,M,2473,NIS,60,False,1,59281,JP,Japan,#52b030,#52b030,#ffffff,
60,27,5,Feliciano Lopez,61,1062,60,12.0,6923,team,1425254400.0,López F.,lopez-feliciano,López F.,M,2959,LOP,61,False,1,14465,ES,Spain,#52b030,#52b030,#ffffff,
61,39,5,Alexei Popyrin,62,1052,61,61.0,6951,team,1620604800.0,Popyrin A.,popyrin-alexei,Popyrin A.,M,2462,POP,62,False,1,128552,AU,Australia,#52b030,#52b030,#ffffff,
62,32,5,Jordan Thompson,63,1042,62,43.0,6915,team,1563148800.0,Thompson J.,thompson-jordan,Thompson J.,M,1644,THO,63,False,1,87690,AU,Australia,#52b030,#52b030,#ffffff,
63,25,5,Vasek Pospisil,64,1036,63,25.0,7052,team,1390780800.0,Pospisil V.,pospisil-vasek,Pospisil V.,M,2954,POS,64,False,1,16779,CA,Canada,#52b030,#52b030,#ffffff,
64,36,5,Sebastian Korda,65,1027,67,62.0,7161,team,1618185600.0,Korda S.,korda-sebastian,Korda S.,M,2758,KOR,65,False,1,195840,US,USA,#52b030,#52b030,#ffffff,
65,18,5,Sam Querrey,66,1023,66,11.0,6911,team,1519603200.0,Querrey S.,querrey-sam,Querrey S.,M,2085,QUE,66,False,1,15301,US,USA,#52b030,#52b030,#ffffff,
66,32,5,Tennys Sandgren,67,1018,65,41.0,6926,team,1547424000.0,Sandgren T.,sandgren-tennys,Sandgren T.,M,1876,SAN,67,False,1,36678,US,USA,#52b030,#52b030,#ffffff,
67,35,5,Gilles Simon,68,995,70,6.0,6908,team,1231113600.0,Simon G.,simon-gilles,Simon G.,M,2947,SIM,68,False,1,14736,FR,France,#52b030,#52b030,#ffffff,
68,27,5,Kyle Edmund,69,980,71,14.0,6916,team,1538956800.0,Edmund K.,edmund-kyle,Edmund K.,M,3608,EDM,69,False,1,65382,GB,United Kingdom,#52b030,#52b030,#ffffff,
69,33,5,Corentin Moutet,70,978,68,69.0,6955,team,1600041600.0,Moutet C.,moutet-corentin,Moutet C.,M,2623,MOU,70,False,1,175014,FR,France,#52b030,#52b030,#ffffff,
70,41,5,Jiri Vesely,71,971,73,35.0,6981,team,1430092800.0,Veselý J.,vesely-jiri,Veselý J.,M,1654,VES,71,False,1,41857,CZ,Czech Republic,#52b030,#52b030,#ffffff,
71,24,5,Jo-Wilfried Tsonga,72,969,72,5.0,6897,team,1330300800.0,Tsonga J.,tsonga-jo-wilfried,Tsonga J.,M,5480,TSO,72,False,1,15090,FR,France,#52b030,#52b030,#ffffff,False
72,36,5,Frances Tiafoe,73,963,74,29.0,6914,team,1549843200.0,Tiafoe F.,tiafoe-francis,Tiafoe F.,M,4359,TIA,73,False,1,101101,US,USA,#52b030,#52b030,#ffffff,
73,40,5,Emil Ruusuvuori,74,951,75,83.0,7007,team,1616371200.0,Ruusuvuori E.,ruusuvuori-emil,Ruusuvuori E.,M,2362,RUU,74,False,1,167370,FI,Finland,#52b030,#52b030,#ffffff,
74,40,5,Pablo Andujar,75,950,76,32.0,6924,team,1436745600.0,Andújar P.,andujar-pablo,Andújar P.,M,1983,AND,75,False,1,15432,ES,Spain,#52b030,#52b030,#ffffff,False
75,45,5,Stefano Travaglia,76,939,69,60.0,6944,team,1612742400.0,Travaglia S.,travaglia-stefano,Travaglia S.,M,3563,TRA,76,False,1,36300,IT,Italy,#52b030,#52b030,#ffffff,
76,34,5,Egor Gerasimov,77,937,78,65.0,6959,team,1582502400.0,Gerasimov E.,gerasimov-egor,Gerasimov E.,M,1765,GER,77,False,1,49283,BY,Belarus,#52b030,#52b030,#ffffff,
77,41,5,Thiago Monteiro,78,936,79,74.0,6961,team,1488153600.0,Monteiro T.,monteiro-thiago,Monteiro T.,M,3004,MON,78,False,1,47603,BR,Brazil,#52b030,#52b030,#ffffff,
78,36,5,Radu Albot,79,915,77,39.0,6907,team,1564963200.0,Albot R.,albot-radu,Albot R.,M,1851,ALB,79,False,1,44547,MD,Moldova,#52b030,#52b030,#ffffff,
79,45,5,Jaume Munar,80,907,83,52.0,6960,team,1558310400.0,Munar J.,munar-jaume,Munar J.,M,2319,MUN,80,False,1,126356,ES,Spain,#52b030,#52b030,#ffffff,
80,42,5,Salvatore Caruso,81,906,81,76.0,6956,team,1605484800.0,Caruso S.,caruso-salvatore,Caruso S.,M,3559,CAR,81,False,1,59310,IT,Italy,#52b030,#52b030,#ffffff,
81,37,5,Marcos Giron,82,900,84,70.0,6988,team,1609718400.0,Giron M.,giron-marcos,Giron M.,M,1052,GIR,82,False,1,42379,US,USA,#52b030,#52b030,#ffffff,False
82,30,5,Steve Johnson,83,900,85,21.0,6947,team,1469404800.0,Johnson S.,johnson-steve,Johnson S.,M,1273,JOH,83,False,1,38493,US,USA,#52b030,#52b030,#ffffff,
83,37,5,Pierre-Hugues Herbert,84,897,87,36.0,6929,team,1549843200.0,Herbert P.,herbert-pierre-hugues,Herbert P.,M,3038,HER,84,False,1,44553,FR,France,#52b030,#52b030,#ffffff,
84,27,5,Lucas Pouille,85,892,86,10.0,6880,team,1521417600.0,Pouille L.,pouille-lucas,Pouille L.,M,3478,POU,85,False,1,57703,FR,France,#52b030,#52b030,#ffffff,
85,43,5,Gianluca Mager,86,879,90,77.0,6985,team,1582502400.0,Mager G.,mager-gianluca,Mager G.,M,2716,MAG,86,False,1,69500,IT,Italy,#52b030,#52b030,#ffffff,
